Percent grade,Points earned (out of 49),Participation total (43),Challenge total (6),1.1 - Participation (9),1.2 - Participation (9),1.3 - Participation (9),1.4 - Participation (16),1.3 - Challenge (6),Fake_First name,Fake_Student ID
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Stephen James,YDAI36631867248970
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Joanne Robinson,KODL42967584996136
95.92,47,100.0,66.67,100.0,100.0,100.0,100.0,66.67,Aaron Parkinson,OEKY72308213837512
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elliot Carter,XTGZ32557471767042
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Damien Reed,IHKM56222598060660
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Emma Murphy,TPBC11358108944266
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Janet Whitehead,PZMS48425634458056
18.37,9,20.93,0.0,100.0,0.0,0.0,0.0,0.0,Joyce Dawson,KMSR43721153099783
85.71,42,97.67,0.0,100.0,100.0,100.0,93.75,0.0,Mark Greenwood,FXFL35457563153611
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Francesca Richardson,SMYT07376584038896
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Henry Robinson,VEPD91690706166680
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Holly Phillips-Robson,NOAR30829603755396
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Nicole James,TREE59215742016738
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Megan Lee,GZDS52398373174025
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashleigh Richards-Higgins,ZXXO72726915875324
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kate Harrison,MQQZ70420099059390
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Terence Myers,MLAZ20332298249752
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Shaun Jones,UFDE91688745826095
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joel Davies-Reynolds,QINW46003787118887
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Peter Harper,PSAP76038857630085
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Denis West,BOFI97561787280757
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Carly Atkinson,EWJQ50058088318971
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Lisa Arnold,IWCR72867111924671
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kerry Roberts-Edwards,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Reece Gibson,APYM58667831461878
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Marcus Green,JTIM26935609219791
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Linda Shepherd,REKG99719025352229
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Lee Hopkins,LQIC34367005142420
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ross Bradley,FHWN86160970614913
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Sheila Smith,NWLM28168852516888
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Christopher Dawson-Pugh,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mrs Melanie Newman,JNOG76723283305058
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Hugh Nicholson,AMHW52958336693227
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Valerie Mitchell,TFYV19033589183001
95.92,47,100.0,66.67,100.0,100.0,100.0,100.0,66.67,Alice Chambers,LXDI99331142043299
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Laura Hurst,TGKF61384154447827
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Craig McDonald,WZGK02710009681520
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Emma Phillips-Dodd,AHTY42280807369944
89.8,44,100.0,16.67,100.0,100.0,100.0,100.0,16.67,Kevin Adams,ZEOI43678752357190
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Matthew Cooper,PGLN86355691421055
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Lee Watson-Butcher,ISLE46620589143052
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Graham Hewitt-Slater,ECJU58810594609713
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Carolyn Smith,IMWM73599972205907
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Donald Blackburn-Ahmed,YDTA60292673855109
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Connor Butler,EMCB10830989402927
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Henry Clarke,KTMX52681424439980
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Margaret Middleton-Stewart,KNIU13841278224096
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Paula Jones,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Hugh Wright-Bates,LICZ18798039419126
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Miss Melissa Townsend,TEML58843077768606
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mrs Amy Wright,YNMN71254577716038
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Natasha Boyle,JQZG23794372620417
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Melanie Hunter-Lee,TNZO81621744914562
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Gerard Mason,VNXL10690732617779
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Miss Janice Dawson,BEON70095287615879
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ms Elizabeth Hargreaves,DZDO77784034271548
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joseph Kelly,BDTG73819691543522
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Rita Robinson,ZKQN61614495115686
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Dominic Shah,HBBD51859335369724
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Melanie Hughes,UZYB80821046380735
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Yvonne Williams,VXDV88208252211374
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joel Davies-Reynolds,PKKU19052986769519
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Gareth Marshall,ZMSH42694439282402
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Stephen Allen,BZSG08610212903109
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Terence Holmes,SCRO67160808210093
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Carole Hill,XXCH46647979552304
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elliott Cox,NYTY74285516347648
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Katie Harvey,BXCL93091244592696
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Rebecca Barker,YDTM05913004761866
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Aaron Brady,YRTI38602713806667
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Clive Ferguson,VWXD05064550380205
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Annette Powell-Payne,TAIO06368036355450
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kathryn Thomas,SCPF88822847788757
8.163,4,9.302,0.0,0.0,0.0,0.0,25.0,0.0,Mr Simon Khan,CUPL76868209260373
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Mathew Bibi,VPPM29513277036395
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Barbara Walsh,QAIW83338179976757
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Angela Wright,GBVK93879151444715
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dr Oliver Kennedy,XJNY75202580741873
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elaine Dawson,WBDF03123479829241
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Victor Dale,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Luke Hunt,YIYT71635814922649
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jennifer Lee,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Lawrence Martin-Mitchell,QXVJ62826984546612
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Anthony Perry,KBWF28173655471182
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Hugh Wright-Bates,ZYIY02214107079208
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Ashleigh Bailey,LXSJ37926095825189
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ann Wilkins,DOQN36847101113855
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Sam Smith,QXZI65214570103022
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Sam James,SFEO72920337566268
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jean Carter-Stone,BOLG59734069294717
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Liam Taylor,AYLN39775788463696
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kate Dyer,THCV55670669192474
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Valerie Mitchell,ERWL26757857332117
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Julia Williams,ISSD13820691253795
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Yvonne Ahmed,SLFP78739714579449
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Sam Smith,DGIM69448940887943
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Toby Palmer,QEJK89173302968074
